,0
Model_BOXER L4H2 3.0 HDi XLH4 F/C P/V,0.0
Model_BOXER L4H2 2.2 HDi XLH4 F/C P/V,0.0
Model_BOXER L2H1 2.2 HDi M F/C P/V,0.0
Model_BANTAM 1.3i A/C P/U S/C,0.0
Model_BALLADE 180 E A/T,0.0
Model_AVEO 1.5 LS 5Dr A/T,0.0
Model_AVENSIS 2.0 ADVANCED,0.0
Model_AVANZA 1.5 TX,0.0
Model_AVANZA 1.3 SX,0.0
Model_AVANZA 1.3 S F/C P/V,0.0
Model_AVANZA 1.3 S,0.0
Model_AVANZA  1.3 S,0.0
Model_C230 CLASSIC A/T,0.0
Model_C220 CDi CLASSIC,0.0
Model_C200K ESTATE CLASSIC,0.0
Model_C200K CLASSIC A/T,0.0
Model_C200K CLASSIC,0.0
Model_C200 CGI BE CLASSIC A/T,0.0
Model_C200 CGI BE CLASSIC,0.0
Model_C200 CDi ESTATE CLASSIC  A/T,0.0
Model_C200 CDi CLASSIC  A/T,0.0
Model_C200 BE CLASSIC A/T,0.0
Model_C200 BE CLASSIC,0.0
Model_C180K CLASSIC A/T,0.0
Model_C180K CLASSIC,0.0
Model_C180 ESTATE A/T,0.0
Model_C180 CGI BE CLASSIC A/T,0.0
Model_CIVIC 1.8 COMFORT A/T,0.0
Model_CITI.COM 1.4i,0.0
Model_CITI CHICO 1.6i,0.0
Model_CERATO 1.6 A/T,0.0
Model_CERATO 1.6 5Dr,0.0
Model_CERATO 1.6 5DR,0.0
Model_CARRYING 2.8 TDi 1.6 TON LUX SWB D/,0.0
Model_CARAVELLE 2.6i A/C P/S,0.0
Model_CANTER 2.4P 3.0 TONNE F/C C/C,0.0
Model_CAMRY 220 GX A/T,0.0
Model_CAMRY 200 Si A/T,0.0
Model_CADDY MAXI CREW BUS 1.9TDi,0.0
Model_CADDY MAXI 2.0TDi (81KW) CREWBUS P/V,0.0
Model_CADDY KOMBI 1.9 TDi,0.0
Model_C350 CDi BE ELEGANCE A/T,0.0
Model_C350 CDI ELEGANCE A/T,0.0
Model_COROLLA 1.4 ADVANCED,0.0
Model_COROLLA 1.3 IMPACT,0.0
Model_COROLLA 1.3 ESTEEM,0.0
Model_CONQUEST 160i SPORT,0.0
Model_CONQUEST 160i RS,0.0
Model_CONQUEST 130,0.0
Model_CONDOR 3000D TE,0.0
Model_CONDOR 3000D ESTATE,0.0
Model_CONDOR 2400i ESTATE TE,0.0
Model_CONDOR 2400i ESTATE,0.0
Model_CONDOR 2400i 4X4 TX,0.0
Model_CONDOR 2000i ESTATE TE,0.0
Model_CONDOR 2000i ESTATE,0.0
Model_CONDOR 1800 ESTATE,0.0
Model_CONDOR 1800,0.0
Model_COROLLA 2.0 D-4D ADVANCED,0.0
Model_COROLLA 160i GLE A/T,0.0
Model_COROLLA 160i GLE,0.0
Model_COROLLA 160i GL,0.0
Model_COROLLA 140i GLS,0.0
Model_COROLLA 140i GLE,0.0
Model_COROLLA 140i,0.0
Model_COROLLA 130 GLE,0.0
Model_COROLLA 130,0.0
Model_COROLLA 1.6 SPRINTER,0.0
Model_COROLLA 1.6 PROFESSIONAL,0.0
Model_COROLLA 1.6 PRESTIGE CVT,0.0
Model_COROLLA 1.6 ESTEEM,0.0
Model_COROLLA 1.6 ADVANCED A/T,0.0
Model_COROLLA 1.6 ADVANCED,0.0
Model_COROLLA 1.4D PRESTIGE,0.0
Model_DUCATO MH2 C8 F/C P/V,0.0
Model_DUCATO CH2 F/C P/V,0.0
Model_DUCATO 2.3 JTD VETRATO,0.0
Model_DUCATO 2.3 JTD HR F/C P/V,0.0
Model_DUCATO 2.3 JTD F/C P/V,0.0
Model_DUCATO 2.3 JTD F/C C/C,0.0
Model_CRAFTER 50 HR 80 F/C P/V,0.0
Model_CRAFTER 50 HR 120 F/C P/V,0.0
Model_CRAFTER 50 2.0 TDi HR 80KW XLWB F/C P/V,0.0
Model_CRAFTER 50 2.0 TDi HR 80KW F/C P/V,0.0
Model_CRAFTER 35 80 F/C P/V,0.0
Model_CRAFTER 35 2.0 TDi 80KW F/C P/V,0.0
Model_CRAFTER 35 2.0 BiTDi 120KW F/C P/V,0.0
Model_CRAFTER 35 120 F/C P/V,0.0
Model_CORSA 1.4iS A/C P/S,0.0
Model_COROLLA RXi,0.0
Model_ETUDE 160iSE SPORT 5dr,0.0
Model_ETIOS CROSS 1.5 Xs 5Dr,0.0
Model_ETIOS 1.5 Xs 5Dr,0.0
Model_ETIOS 1.5 Xs,0.0
Model_ETIOS 1.5 Xi 5Dr,0.0
Model_ETIOS 1.5 Xi,0.0
Model_ERTIGA 1.4 GLX,0.0
Model_ERTIGA 1.4 GA,0.0
Model_EMGRAND EC 7 1.8 EXEC,0.0
Model_ELANTRA 1.8 GLS/EXECUTIVE A/T,0.0
Model_ELANTRA 1.6 GLS,0.0
Model_E 240,0.0
Model_E 200K,0.0
Model_E 200 CGI BE ESTATE,0.0
Model_E 200 CGI BE,0.0
Model_E 200,0.0
Model_H-1 2.5 CRDi F/C P/V,0.0
Model_H-1 2.5 CRDi A/C F/C P/V A/T,0.0
Model_H-1 2.5 CRDI WAGON A/T,0.0
Model_H-1 2.4 GL MULTICAB 6 SEAT,0.0
Model_GRAND LIVINA 1.6 ACENTA,0.0
Model_GRAN MOVE A/T,0.0
Model_GOLF GTI 2.0T FSI,0.0
Model_GOLF 4 1.9 TDi ESTATE TRENDLINE,0.0
Model_GOLF 4 1.6 COMFORTLINE,0.0
Model_GOLF 2.0 FSI SPORTLINE,0.0
Model_GETZ 1.6,0.0
Model_GETZ 1.4,0.0
Model_GEN 2 1.6 GL,0.0
Model_FORTUNER 3.0D-4D R/B A/T,0.0
Model_FIESTA 1.6 SPORT 5Dr,0.0
Model_F94 MARCO POLO BUS B/S B/S,0.0
Model_HiACE SUPER T F/Lift,0.0
Model_HiACE SUPER 16 F/Lift,0.0
Model_HiACE SUPER 10 F/Lift,0.0
Model_HiACE SUPER 10,0.0
Model_HiACE COMMUTER 16,0.0
Model_HiACE COMMUTER 10,0.0
Model_HiACE 2200 F/C P/V,0.0
Model_HiACE 1800 F/C P/V,0.0
Model_HILUX 2.5 D-4D S P/U S/C,0.0
Model_HAISE H2 2.4i 16 SEAT,0.0
Model_HAISE H2 2.4i 15 SEAT,0.0
Model_HAISE 2.2i,0.0
Model_H3 V8 LUXURY A/T,0.0
Model_H3 ADVENTURE A/T,0.0
Model_H100 P/U C/C,0.0
Model_H-1 GLS 2.4 CVVT WAGON,0.0
Model_LANCER 1.6 GL,0.0
Model_L/CRUISER FJ 4.0 V6 CRUISER,0.0
Model_JETTA CLi 2.0 EXEC,0.0
Model_JETTA 4 1.6 COMFORTLINE,0.0
Model_JETTA 2.0 COMFORTLINE,0.0
Model_JETTA 1.6 COMFORTLINE,0.0
Model_JAZZ 1.5i,0.0
Model_IS 250 A/T,0.0
Model_INYATHI GOLDEN DRAGON,0.0
Model_INYATHI 2.2i  HIGH ROOF,0.0
Model_INTERSTAR 2.5 dCi SR F/C P/V,0.0
Model_INNOVA 2.7 VVTi 7 SEAT,0.0
Model_INKUNZI 2.2 TAXI,0.0
Model_INGWE 2.2,0.0
Model_INDICA 1.4 DLS,0.0
Model_IKON 1.6 AMBIENTE,0.0
Model_MICRA 1.5 TEKNA 5DR (D85),0.0
Model_MICRA 1.4 VISIA 5Dr (D62/73),0.0
Model_MAXUS 2.5TD 16 SEAT,0.0
Model_MARATHON 16s,0.0
Model_MAKOYA 2.4i 16S,0.0
Model_LT46 2.8TDi H/ROOF F/C P/V,0.0
Model_LT46 2.5TDi H/ROOF F/C P/V,0.0
Model_LT35 2.8TDi S/ROOF F/C P/V,0.0
Model_LT35 2.5TDi H/ROOF F/C P/V,0.0
Model_LPT 813 EX2 F/C C/C,0.0
Model_LPT 713 S F/C C/C,0.0
Model_LPO 918 TC B/S B/S,0.0
Model_LP 713 S B/S B/S,0.0
Model_LIVINA 1.6 VISIA X-GEAR,0.0
Model_LIVINA 1.6 ACENTA,0.0
Model_LANCER 1.6 GLX,0.0
make_FIAT,0.0
make_DAIHATSU,0.0
make_CITROEN,0.0
Model_OPTRA 1.6 LS,0.0
Model_OPTRA 1.6 L,0.0
Model_NV350 2.5i WIDE F/C P/V,0.0
Model_NV350 2.5i NARROW F/C P/V,0.0
Model_NV350 2.5 16 SEAT IMPENDULO,0.0
Model_NP200 1.6  A/C SAFETY PACK P/U S/C,0.0
Model_NP200 1.5 DCi  A/C SAFETY PACK P/U S/C,0.0
Model_NDLOVU 2.4i 16 Seats,0.0
Model_NAVARA 2.5 dCi XE 4X4 P/U D/C,0.0
Model_ML 320 CDI A/T,0.0
Model_MICROBUS EXCLUSIVE 2.6,0.0
Model_MICROBUS 2.6i P/S A/C,0.0
Model_MICROBUS 2.3 P/S,0.0
Model_POLO 1.6 COMFORTLINE 5DR,0.0
Model_POLO 1.6 COMFORTLINE,0.0
Model_POLO 1.4 COMFORTLINE 5DR,0.0
Model_P230 DB MSZ F/C C/C,0.0
Model_P-10 2.0TCI 15s,0.0
Model_P 94LA 4X2 NA T/T C/C,0.0
make_KIA,0.0
make_JMC,0.0
make_IVECO,0.0
make_HYUNDAI,0.0
make_HUMMER,0.0
make_HONDA,0.0
make_HINO,0.0
make_GEELY,0.0
make_FOTON,0.0
make_FORD,0.0
Model_RunX 160i RS,0.0
Model_RunX 140i RT,0.0
Model_RELAY 3.0HDi 180 L4H2 19 SEAT,0.0
Model_RELAY 2.2 L2H1 15 SEAT,0.0
Model_RANGER 3.2TDCi WILDTRACK A/T P/U D/C,0.0
Model_QUANTUM 2.7 F/C P/V,0.0
Model_VENTURE 2400D 6+4 New,0.0
Model_QUANTUM 2.5 D-4D CREWCAB F/C P/V,0.0
Model_QUANTUM 2.5 D-4D 10 SEAT,0.0
Model_PRIMASTAR 1.9 dCi 100 SWB,0.0
Model_PREGIO 12 SEATER,0.0
Model_POLO VIVO 1.6 5Dr,0.0
Model_POLO VIVO 1.4 TRENDLINE 5Dr,0.0
Model_POLO CLASSIC 1.6 Lux,0.0
Model_POLO 1.9 TDi HIGHLINE,0.0
Model_POLO 1.6 COMFORTLINE TIP 5DR,0.0
Model_SONIC 1.6 LS,0.0
Model_SONIC 1.3D LS 5DR,0.0
Model_SONATA 2.0 GLS,0.0
Model_SHARAN 1.8T,0.0
Model_SESBUYILE 2.7 16 SEAT,0.0
Model_SESBUYILE 2.5 TDi 16 SEAT,0.0
Model_SESBUYILE 2.4i 16 SEAT,0.0
Model_SCORPIO 2.6 TDi 4X4,0.0
Model_SCENIC II AUTHENTIQUE 1.6,0.0
Model_SCENIC 1.9 dCi EXPRESSION,0.0
Model_SCENIC 1.4 AUTHENTIQUE,0.0
Model_SAVVY 1.2 SPORT,0.0
Model_SASUKA 2.7i (16 SEAT),0.0
Model_S70 T5 A/T,0.0
Model_S40 T5 A/T,0.0
Model_S40 2.0,0.0
Model_SPRINTER 315 CDi LWB HR F/C P/V,0.0
Model_SPRINTER 315 CDI HI ROOF F/C P/V,0.0
Model_SPRINTER 315 CDI F/C P/V,0.0
Model_SPRINTER 315 CDI F/C D/C,0.0
Model_SPRINTER 315 CDI F/C C/C,0.0
Model_SPRINTER 313 CDI HI ROOF F/C P/V,0.0
Model_SPRINTER 312D HIGH ROOF F/C P/V,0.0
Model_SPRINTER 312D F/C P/V,0.0
Model_SPRINTER 311 CDi F/C P/V,0.0
Model_SPRINTER 309 CDI F/C P/V,0.0
Model_SPRINTER 308D F/C C/C,0.0
Model_SPRINTER 308 CDI F/C P/V,0.0
Model_SPRINTER 308 CDI F/C C/C,0.0
Model_SPECTRON 16s,0.0
Model_SPACEGEAR GLX,0.0
Model_SONIC 1.6 LS 5DR,0.0
Model_SPRINTER 413 CDI P/V C/C,0.0
Model_SPRINTER 413 CDI HI-ROOF F/C P/V,0.0
Model_SPRINTER 413 CDI F/C P/V,0.0
Model_SPRINTER 412D P/V C/C,0.0
Model_SPRINTER 412D HIGH ROOF P/V P/V,0.0
make_CHEVROLET,0.0
make_CHERY,0.0
make_C.A.M,0.0
make_B.A.W,0.0
VehicleType_Light Commercial,0.0
VehicleType_Heavy Commercial,0.0
VehicleType_Bus,0.0
Gender_Not specified,0.0
Gender_Female,0.0
Model_SPRINTER 319 CDi F/C P/V,0.0
Model_SPRINTER 319 CDi F/C C/C,0.0
Model_STALLION 2000i PANEL VAN F/C P/V,0.0
Model_STALLION 1800 PANEL VAN F/C P/V,0.0
Model_SPRINTER 519 CDi XL F/C P/V,0.0
Model_SPRINTER 519 CDi F/C P/V,0.0
Model_SPRINTER 519 CDi F/C C/C,0.0
Model_SPRINTER 519 CDi DC F/C C/C,0.0
Model_SPRINTER 519 CDI XL F/C P/V,0.0
Model_SPRINTER 519 CDI F/C P/V,0.0
Model_SPRINTER 519 CDI F/C C/C,0.0
Model_SPRINTER 518 CDi XL HI-ROOF F/C P/V,0.0
Model_SPRINTER 518 CDI F/C P/V,0.0
Model_SPRINTER 518 CDI F/C C/C,0.0
Model_SPRINTER 518 CDI D/C F/C C/C,0.0
Model_SPRINTER 515 CDi F/C P/V,0.0
Model_SPRINTER 515 CDI XL F/C P/V,0.0
Model_SPRINTER 416 CDI F/C C/C,0.0
Model_VERSO 1.6 S,0.0
Model_TIIDA 1.6 ACENTA 5Dr (H36),0.0
Model_TIIDA 1.6 ACENTA (H33),0.0
Model_TERRITORY 4.0i GHIA AWD A/T,0.0
Model_TELSTAR GHIA,0.0
Model_TAZZ 130 SPORT,0.0
Model_TAZZ 130,0.0
Model_T5 KOMBI 2.5 TDI LWB,0.0
Model_T5 KOMBI 2.0 TDi LWB 103kw,0.0
Model_T5 KOMBI 2.0 TDi LWB (75KW) BASE,0.0
Model_T5 KOMBI 1.9 TDI LWB,0.0
Model_T5 CARAVELLE 3.2 4motion,0.0
Model_T5 CARAVELLE 2.5TDi 128kw,0.0
Model_T5 CARAVELLE 2.0 BiTDi,0.0
Model_T4 2.5 TDi HIGHLINE,0.0
Model_VAN 2.6iD F/C P/V,0.0
Province_Northern Cape,0.0
Model_YARIS ZEN3 ACS,0.0
Model_YARIS ZEN3,0.0
Model_YARIS T3+,0.0
Model_YARIS T3 SPIRIT 5Dr,0.0
Model_YARIS T3 A/C,0.0
Model_YARIS T1 5Dr,0.0
Model_UG 780 E F/C C/C,0.0
Model_TUCSON 2.0 GLS,0.0
Model_TRANSPORTER T5 2.0 TDi LWB 75KW F/C P/V,0.0
Model_TRANSPORTER T5 2.0 TDi LWB 103 KW F/C P/V,0.0
Model_TRANSPORTER 2.5 TDi P/U S/C,0.0
Model_TRANSIT 2.2 TDCi ELWB 114KW F/C C/C,0.0
Model_TRAKKER AD410T42H F/C C/C,0.0
Model_TOURAN 1.4 TSi HIGHLINE,0.0
Model_VENTURE 1800 6+4 New,0.0
